Date,Close
2/7/18,3454.52
2/6/18,3394.92
2/5/18,3478.77
2/2/18,3523.28
2/1/18,3577.35
01/31/2018,3609.29
01/30/2018,3606.75
01/29/2018,3643.04
01/26/2018,3647.41
01/25/2018,3630.15
01/24/2018,3643.22
01/23/2018,3672.29
01/22/2018,3665.28
01/19/2018,3649.07
01/18/2018,3620.91
01/17/2018,3612.78
01/16/2018,3622.01
01/15/2018,3611.81
1/12/18,3612.61
1/11/18,3595.24
1/10/18,3609.83
1/9/18,3622.87
1/8/18,3616.45
1/5/18,3607.63
1/4/18,3568.88
1/3/18,3509.88
1/2/18,3490.19
12/29/2017,3503.96
12/28/2017,3524.31
12/27/2017,3550.17
12/22/2017,3553.39
12/21/2017,3570.78
12/20/2017,3552.65
12/19/2017,3582.22
12/18/2017,3609.42
12/15/2017,3560.53
12/14/2017,3556.22
12/13/2017,3581.75
12/12/17,3600.35
12/11/17,3582.21
12/8/17,3591.45
12/7/17,3573.13
12/6/17,3561.57
12/5/17,3570.57
12/4/17,3576.22
12/1/17,3527.55
11/30/2017,3569.93
11/29/2017,3589.91
11/28/2017,3583.49
11/27/2017,3564.02
11/24/2017,3581.23
11/23/2017,3572.07
11/22/2017,3562.65
11/21/2017,3579.32
11/20/2017,3561.41
11/17/2017,3547.46
11/16/2017,3564.80
11/15/2017,3545.72
11/14/2017,3556.38
11/13/2017,3574.52
11/10/17,3593.76
11/9/17,3612.50
11/8/17,3655.04
11/7/17,3658.77
11/6/17,3682.36
11/3/17,3689.96
11/2/17,3688.80
11/1/17,3697.40
10/31/2017,3673.95
10/30/2017,3662.18
10/27/2017,3652.23
10/26/2017,3637.20
10/25/2017,3591.46
10/24/2017,3610.69
10/23/2017,3608.87
10/20/2017,3605.09
10/19/2017,3602.08
10/18/2017,3619.65
10/17/2017,3607.77
10/16/2017,3606.27
10/13/2017,3604.55
10/12/17,3605.54
10/11/17,3607.39
10/10/17,3598.79
10/9/17,3610.50
10/6/17,3603.32
10/5/17,3613.54
10/4/17,3594.91
10/3/17,3605.73
10/2/17,3602.69
09/29/2017,3594.85
09/28/2017,3563.64
09/27/2017,3555.17
09/26/2017,3536.38
09/25/2017,3537.81
09/22/2017,3541.42
09/21/2017,3539.59
09/20/2017,3525.55
09/19/2017,3531.18
09/18/2017,3526.74
09/15/2017,3515.55
09/14/2017,3526.48
09/13/2017,3523.14
9/12/17,3512.56
9/11/17,3495.19
9/8/17,3447.69
9/7/17,3447.66
9/6/17,3433.80
9/5/17,3420.86
9/4/17,3429.98
9/1/17,3443.88
08/31/2017,3421.47
08/30/2017,3403.71
08/29/2017,3388.22
08/28/2017,3421.03
08/25/2017,3438.55
08/24/2017,3444.73
08/23/2017,3438.63
08/22/2017,3455.59
08/21/2017,3423.53
08/18/2017,3446.03
08/17/2017,3461.97
08/16/2017,3484.57
08/15/2017,3461.91
08/14/2017,3450.66
8/11/17,3406.34
8/10/17,3433.54
8/9/17,3468.45
8/8/17,3515.63
8/7/17,3505.80
8/4/17,3507.41
8/3/17,3466.37
8/2/17,3459.32
8/1/17,3477.39
07/31/2017,3449.36
07/28/2017,3467.73
07/27/2017,3493.14
07/26/2017,3491.19
07/25/2017,3473.54
07/24/2017,3453.17
07/21/2017,3451.71
07/20/2017,3499.49
07/19/2017,3500.28
07/18/2017,3478.68
07/17/2017,3516.35
07/14/2017,3525.94
07/13/2017,3527.83
7/12/17,3515.23
7/11/17,3464.48
7/10/17,3478.06
7/7/17,3463.84
7/6/17,3462.06
7/5/17,3478.41
7/4/17,3479.47
7/3/17,3491.81
06/30/2017,3441.88
06/29/2017,3471.33
06/28/2017,3535.70
06/27/2017,3538.32
06/26/2017,3561.76
06/23/2017,3543.68
06/22/2017,3555.76
06/21/2017,3554.35
